,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,소재,재질,팔걸이,등받이,종류,인테리어
21,26,184634,"밴프 패브릭 쿠션 체어, 그레이(OC082)",18400,1744427401,True,15,4.0,105.0,False,밴프,0,107.0,NULL,그레이,패브릭,NULL,팔걸이없음,등받이있음,NULL,NULL
22,27,184634,"투에이산업 수정 사각의자, 블루",7260,77719712,True,0,4.5,621.0,False,,0,213.0,NULL,블루,플라스틱,NULL,팔걸이없음,등받이없음,NULL,NULL
23,28,184634,"메이코 히다마리 바락 좌식의자, 그레이",66300,4736246271,True,0,4.5,287.0,False,히다마리,0,238.0,NULL,그레이,패브릭,NULL,NULL,NULL,NULL,NULL
24,29,184634,"투에이산업 수정 회전의자, 레드",7700,77719726,True,0,4.5,244.0,False,,0,89.0,NULL,레드,플라스틱,NULL,NULL,등받이없음,NULL,NULL
25,30,184634,"룸앤홈 실리트 원목스툴, 베이지",33610,18579217,True,15,4.5,2483.0,False,룸앤홈,0,384.0,336 x 290 x 450 mm,베이지,NULL,원목,NULL,NULL,NULL,NULL
26,31,184634,"접이식의자 접이식 좌식의자 폴딩의자 접이식쇼파 자세교정 5단 접이식좌식의자 패브릭 5단폴딩, 18칸 - 그레이",24900,1825710001,False,0,4.5,139.0,False,,0,140.0,NULL,그레이,패브릭,NULL,팔걸이없음,등받이있음,좌식의자,NULL
27,32,184634,"에코상사 원목 200 미니스툴, 내츄럴",10840,131023878,True,0,5.0,384.0,False,텐바이텐,0,278.0,가로220X너비220X세로200(mm),베이지,NULL,원목,NULL,NULL,NULL,NULL
28,33,184634,"소프시스 스툴체어, 내추럴",14330,5512849,True,15,4.5,1852.0,False,소프시스,0,186.0,410 x 460 mm,베이지,NULL,원목,NULL,NULL,NULL,NULL
29,36,184634,"오에이데스크 폭신폭신 쿠션 의자, 블루",13900,132814416,True,33,4.0,1111.0,False,몽돌,0,319.0,30 x 44 x 75 cm,블루,컨텐츠참조,PVC,NULL,NULL,접이식의자,NULL
30,37,184634,"아가드 유아용 아이슬라이드 하이체어, 베이지",109000,6321594,True,31,4.5,725.0,False,아가드,0,185.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,38,184634,"도리퍼니처 티암 1인 소파형 좌식의자, 그레이",61500,1490546931,True,1,4.5,380.0,False,도리퍼니처,0,356.0,NULL,NULL,패브릭,NULL,팔걸이있음,NULL,좌식의자,NULL
32,39,184634,"마켓플랜 휴대용 접이식 의자 L, 블랙",10900,5116406482,True,0,4.5,20.0,False,,0,21.0,NULL,블랙,NULL,NULL,팔걸이없음,등받이없음,야외용의자,모던/심플
33,41,184634,"[삼익가구]파트라 원형 원목 수납 스툴 화장대 의자, 오트밀",19900,1982961878,False,60,4.0,119.0,False,삼익가구,착불배송,120.0,NULL,NULL,패브릭,NULL,NULL,등받이없음,스툴/화장대의자,NULL
34,43,184634,"하나리빙 아기 원목 식탁 의자, 내츄럴",40990,1349109493,True,1,5.0,75.0,False,하나리빙,0,69.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,44,184634,"아이리빙 원목 화장대의자 소, 화이트",23790,109028509,True,20,4.0,206.0,False,,0,94.0,340 x 340 x 450 mm,화이트,NULL,원목,NULL,NULL,NULL,NULL
36,45,184634,"가팡 원목 화장대의자, 베이지",19300,1487910358,True,0,4.5,66.0,False,가팡,0,66.0,NULL,베이지,NULL,NULL,NULL,등받이없음,스툴/화장대의자,NULL
37,46,184634,"파파가구 아우디침대형의자 안락의자 컴퓨터책상 게이밍의자, 블랙",105000,5017929068,False,34,4.5,164.0,False,,0,163.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,47,184634,"오피스엔홈 와플 환의자, 블랙",24300,1821452845,False,0,4.0,101.0,False,,0,76.0,NULL,블랙,인조/천연가죽,NULL,NULL,등받이없음,NULL,NULL
39,48,184634,"까사마루 루치아 플러스 스툴 벤치, 베이지",24900,202312696,True,16,4.5,379.0,False,까사마루,0,274.0,NULL,베이지,NULL,NULL,NULL,등받이없음,스툴/화장대의자,NULL
40,49,184634,"네츄럴홈 원목 레스트 체어, 엔틱",28200,11405942,False,0,4.5,990.0,False,,0,261.0,44x40x85cm,브라운,우드,NULL,NULL,NULL,인테리어의자,
41,50,184634,"업브레인 숨쉬는 EPP 빈백 충전재 100L+20L 추가증정, 50리터+10리터",10900,147652141,False,0,4.5,237.0,False,업브레인,0,148.0,60cm*80cm,화이트,NULL,epp,NULL,NULL,NULL,NULL
42,51,184634,"[와이디] 스파크 의자, 블랙(YWC2032-BK)",9990,47669429,False,0,4.0,386.0,False,,착불배송,152.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,인테리어의자,
43,52,184634,"리빙해피 매트 사각 의자, 블랙",17900,162180564,True,25,4.5,574.0,False,리빙해피,0,320.0,45.5 x 42.5 x 78 cm,블랙,NULL,철제,NULL,NULL,NULL,NULL
44,54,184634,"릿첼 베이비 소프트 의자 + 수리용 패치, 베이지",23710,2174839974,True,0,5.0,29.0,False,릿첼,0,29.0,NULL,베이지,NULL,PU (폴리우레탄),NULL,NULL,NULL,NULL
45,55,184634,"한샘 폴리 체어, 화이트",35700,226261343,False,2,4.5,197.0,False,한샘,0,142.0,NULL,화이트,플라스틱,NULL,팔걸이없음,등받이있음,NULL,NULL
46,56,184634,"룸앤홈 마카롱스툴, 그레이",18810,2470251,True,37,4.5,1292.0,False,룸앤홈,0,150.0,300 x 300 x 420 mm,그레이,NULL,소나무,NULL,NULL,NULL,NULL
47,57,184634,"이케아 아기 식탁의자 안틸로프 하이체어, 1.화이트(의자+트레이)",31200,1583888110,False,0,5.0,21.0,False,이케아,0,21.0,NULL,NULL,NULL,NULL,NULL,NULL,아동용의자,NULL
48,58,184634,"이케아 MARIUS 스툴, 화이트",6600,61000741,False,0,4.5,856.0,False,이케아,착불배송,184.0,"시트 지름(32cm), 폭(40cm), 높이(45cm)",화이트,NULL,철제,NULL,NULL,스툴/화장대의자,NULL
49,59,184634,"RM디자인 5구 원목 레자 좌식 고주파 식당 일식 의자, 레자좌식-월넛",8600,2145149852,False,0,4.5,96.0,False,,착불배송,96.0,NULL,NULL,인조/천연가죽,NULL,팔걸이없음,NULL,좌식의자,NULL
50,60,184634,"올라스툴 접이식 발판, 화이트",9800,2052066569,True,0,4.5,82.0,False,,0,82.0,NULL,화이트,플라스틱,NULL,NULL,등받이없음,NULL,NULL
51,63,184634,"아이코닉하우스 플레인 원목 패브릭 스툴, 베이지",12800,293480815,True,6,4.5,124.0,False,텐바이텐,0,103.0,NULL,NULL,패브릭,NULL,NULL,등받이없음,스툴/화장대의자,NULL
52,64,184634,"마켓비 BUSTO 접이식의자, 화이트",24900,1204433076,False,0,4.5,230.0,False,마켓비,"6,000",200.0,NULL,NULL,기타,NULL,NULL,등받이있음,접이식의자,NULL
53,65,184634,"퍼니아트 고무나무원목 화장대의자, 아이보리",21800,1954832841,False,0,5.0,142.0,False,퍼니아트,"3,000",107.0,NULL,화이트,NULL,원목,NULL,NULL,NULL,모던/심플
54,66,184634,"2021 NEW 콤비체어 바른자세 허리 교정 슬림 와이드 등받이 커브 디스크 앉은뱅이 의자, 매트블랙 - 슬림",28900,4979403327,False,63,4.5,63.0,False,,0,63.0,NULL,NULL,NULL,NULL,NULL,등받이있음,자세교정형,모던/심플
55,67,184634,"도리퍼니처 쿠션 분체 접이식 의자, 블랙",25500,53738417,False,0,5.0,71.0,False,도리퍼니처,0,52.0,44cm x 55cm x 85cm,NULL,NULL,철제,팔걸이없음,NULL,NULL,NULL
56,69,184634,"밴프 엔틱 쿠션 체어, 브라운(OC072)",13400,1805230032,True,3,4.5,109.0,False,밴프,0,109.0,NULL,브라운,인조/천연가죽,NULL,NULL,등받이있음,접이식의자,NULL
57,70,184634,"리에또 베이비 프리미엄 쇼파 1인용, 그레이(클라우드)",72500,38212141,False,0,5.0,377.0,False,리에또,0,112.0,NULL,NULL,NULL,PU (폴리우레탄),NULL,NULL,NULL,NULL
58,71,184634,"에시앙 범보 P의자 + 카트 트레이 + 크라운 2종 세트, 의자, 트레이(에곤뉴트럴), 크라운(도트 아이보리)",122660,2335291621,True,4,5.0,43.0,False,에시앙,0,43.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,72,184634,"대창하이택 팔걸이 라탄 플라스틱의자 야외의자, B형 라탄 팔걸이(그레이)",12900,102340014,False,0,4.5,240.0,False,,0,89.0,550mm * 500mm * 820mm,그레이,플라스틱,플라스틱,NULL,NULL,야외/캠핑용의자,NULL
60,73,184634,"지엠퍼니처 피카소 인테리어 골드벨벳 화장대 원형 스툴 의자, 피카소_민트",32900,2128827582,False,44,5.0,84.0,False,지엠퍼니처,0,81.0,NULL,블루,NULL,패브릭,NULL,NULL,NULL,로맨틱
61,75,184634,"월드컵 사각의자 3p, 블루",29900,274994212,False,0,4.5,93.0,False,,0,72.0,NULL,블루,플라스틱,NULL,NULL,등받이없음,식탁의자,NULL
62,76,184634,"코시나 접이식 삼각의자, 블랙",12900,4322666115,False,0,4.5,78.0,False,코시나,0,78.0,NULL,NULL,플라스틱,NULL,NULL,NULL,접이식의자,NULL
63,77,184634,"까사마루 아마빌레 스툴 벤치형, 베이지",19900,13710193,True,39,4.5,982.0,False,까사마루,0,206.0,760 x 380 x 380 mm,베이지,NULL,폴리에스터,NULL,NULL,NULL,NULL
64,78,184634,"리브맘 달콤 빈백 쇼파, 그레이",92070,260646155,True,33,4.0,407.0,False,리브맘,0,223.0,90 x 120 x 80 cm,그레이,NULL,패브릭,NULL,NULL,NULL,모던/심플
65,79,184634,"블루밍홈 마빈 좌식의자, 그레이",48950,164648201,True,43,4.5,405.0,False,블루밍홈,0,264.0,NULL,그레이,NULL,패브릭,NULL,NULL,NULL,NULL
66,80,184634,"엠파이어 50mm 링 우레탄 사무용의자바퀴 캐스터 A15R11W 5p, 화이트",6430,180999714,True,5,4.5,92.0,False,엠파이어,0,56.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,81,184634,"내마우스 원형의자, 블랙 OC016",10040,135145920,True,14,4.5,299.0,False,,0,125.0,NULL,블랙,기타,NULL,팔걸이없음,등받이없음,NULL,NULL
68,82,184634,"도리퍼니처 동글이 바퀴 보조 의자, 브라운",26000,2022424921,True,0,4.0,122.0,False,도리퍼니처,0,65.0,NULL,브라운,인조/천연가죽,NULL,NULL,등받이없음,NULL,NULL
69,83,184634,엠파이어 고급형 사무용 의자바퀴 A6RM11,11150,167218823,True,2,5.0,213.0,False,,0,145.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,84,184634,"마켓비 ZIANY 접이식의자 DT92, 다크그레이",27900,1101880486,True,11,4.5,119.0,False,마켓비,0,109.0,NULL,NULL,기타,NULL,NULL,등받이있음,접이식의자,NULL
71,85,184634,"블루밍홈 S파스텔 인조가죽 좌식의자, 아이보리",34150,1624887565,True,10,4.5,997.0,False,블루밍홈,0,539.0,102 x 55 x 12 cm,화이트,NULL,인조가죽,NULL,NULL,NULL,NULL
72,87,184634,"슐 인테리어 포인트 에펠 체어 6Color_SL0108, 04_화이트",29900,1620152043,False,49,5.0,154.0,False,슐,0,155.0,NULL,화이트,플라스틱,PP,NULL,NULL,식탁의자,모던/심플
73,88,184634,"멀바우 카페 식탁 벤치 의자 YWC2086-BK, 멀바우 + 블랙",22500,1790202589,False,0,4.5,319.0,False,,착불배송,235.0,NULL,브라운,우드,NULL,NULL,등받이없음,벤치형의자,NULL
74,89,184634,"아르브 쿠션 아기 의자, 피치",29700,45025274,False,0,4.5,128.0,False,아르브,0,55.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,91,184634,"코시나 LEKKI 각도조절 좌식소파, 그레이",35120,4322666153,True,18,4.5,30.0,False,코시나,0,30.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,93,184634,"도리퍼니처 엠보 좌식 등받이의자, 블랙",24500,2034836684,False,0,4.5,189.0,False,도리퍼니처,0,97.0,NULL,NULL,인조/천연가죽,NULL,팔걸이없음,NULL,좌식의자,NULL
77,94,184634,"톨스토이 티파니 부스터 겸용 하이체어, 그레이",58000,166901642,False,0,4.5,463.0,False,,0,173.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,96,184634,"에스파스 접이식 쿠션 등받이의자, 아이보리",15770,159014920,True,47,4.0,172.0,False,에스파스,0,93.0,NULL,베이지,NULL,NULL,팔걸이없음,등받이있음,NULL,NULL
79,97,184634,"예원 수납의자 화장대의자 피아노의자 보조의자 스툴의자 콘솔의자 의자, 아이보리",29500,237076176,False,50,4.5,224.0,False,예원,"3,500",147.0,NULL,NULL,인조/천연가죽,NULL,NULL,등받이없음,NULL,내추럴
80,98,184634,"마켓비 TOOPAK 원형스툴 44, 브라운",15190,1376072446,True,4,4.0,82.0,False,마켓비,0,79.0,NULL,브라운,우드,NULL,NULL,등받이없음,스툴/화장대의자,NULL
81,99,184634,"오에이데스크 브로몰딩 접이식 의자, 화이트",22540,51410368,True,35,4.5,270.0,False,,0,123.0,50 x 45 x 88 cm,화이트,NULL,플라스틱,NULL,NULL,NULL,NULL
82,101,184634,"하이힙 힘모아 좌식의자 A, 블랙",75030,2300191150,True,5,5.0,80.0,False,,0,80.0,NULL,NULL,패브릭,NULL,팔걸이없음,NULL,좌식의자,NULL
83,103,184634,"에디홈 주방 접이식 스텝스툴 가정용 2단 사다리 HO-100, 그레이",31050,291703568,True,0,4.0,73.0,False,,0,46.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,107,184634,"캠프밸리 릴렉스 1인용 밀란소파 플러스, 다크그레이",299260,156376868,False,0,4.5,185.0,False,캠프밸리,0,80.0,NULL,블랙,패브릭,패브릭,NULL,NULL,소파,NULL
85,108,184634,"윤영아이엔티 샤론 스툴, 러블리핑크",31900,1248229878,True,0,4.5,60.0,False,,0,50.0,NULL,NULL,패브릭,NULL,NULL,NULL,스툴/화장대의자,NULL
86,109,184634,"룸앤홈 니토리 벤트 스툴, 카푸치노",17790,18446786,True,10,4.5,1052.0,False,룸앤홈,0,274.0,400 x 450 mm,베이지,NULL,벤트우드 + PU,NULL,NULL,스툴/화장대의자,NULL
87,110,184634,"오에이데스크 원형 의자 2p, 블랙",17000,179229607,True,28,4.5,73.0,False,,0,53.0,NULL,블랙,인조/천연가죽,NULL,팔걸이없음,등받이없음,NULL,NULL
88,111,184634,"오에이데스크 사각원목스툴벤치 560, 그레이",20310,202239075,True,38,4.5,214.0,False,,0,153.0,NULL,NULL,패브릭,NULL,NULL,등받이없음,스툴/화장대의자,NULL
89,112,184634,"마켓비 SNUG 너도밤나무 접이식 안락의자, 그레이",69000,1926005959,True,0,4.5,59.0,False,마켓비,0,58.0,NULL,그레이,우드,NULL,NULL,등받이있음,안락의자,NULL
90,113,184634,"이케아 키즈 ANTILOP 유아용의자 + 트레이, 화이트",30600,1292237178,False,0,4.5,269.0,False,이케아,0,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,114,184634,"말랑말랑 미니 땅콩 빈백, 그레이",35920,1624478894,True,9,4.5,100.0,False,,0,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,115,184634,"릿첼 베이비 소프트 의자 + 수리용 패치, 그레이",23710,2174841548,True,0,5.0,14.0,False,릿첼,0,14.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,117,184634,"엠파이어 50mm 링 우레탄 사무용의자바퀴 캐스터 A16RM11B 5p, 블랙",6430,180999721,True,5,4.5,183.0,False,,0,112.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,120,184634,"생활지음 루미 우드 의자 SSLM34W, 웜 화이트",28000,1885492389,True,0,5.0,162.0,True,생활지음,,163.0,537 x 505 x 731 mm,NULL,NULL,PP + 원목,팔걸이없음,NULL,NULL,NULL
95,123,184634,"야마토야 뉴스쿠스쿠 플러스 트레이 식탁의자, 내츄럴",193200,98490590,True,22,4.5,264.0,False,야마토야,0,78.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,124,184634,"도리퍼니처 다용도 분체 접의자, 블랙",18500,5237338348,False,0,5.0,31.0,False,도리퍼니처,0,21.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,125,184634,"베스트가구 의자바퀴 5개묶음 의자부속품, 블랙, 의자바퀴5개묶음",6400,2304710027,False,0,4.5,115.0,False,,0,42.0,NULL,블랙,NULL,NULL,NULL,NULL,NULL,NULL
98,126,184634,"오에이데스크 하프체어 2p, 화이트",65300,146708395,True,33,4.0,474.0,False,,0,176.0,41 x 43.5 x 3.5 cm,화이트,NULL,철제,NULL,NULL,NULL,NULL
99,127,184634,"THEJOA 써클체어-이동형 높낮이조절바퀴의자, 블랙",18900,30270765,False,36,4.0,94.0,False,,착불배송,19.0,"W330,H450~560",NULL,NULL,철제,팔걸이없음,NULL,NULL,NULL
100,128,184634,"- 삼선팔걸이의자 편의점의자 프라스틱의자 야외의자, 빨강",12900,2786032,False,0,4.5,17.0,False,,착불배송,4.0,NULL,레드,NULL,플라스틱,NULL,NULL,NULL,NULL
101,129,184634,"국산 라탄 사각 회전 의자, 라탄사각의자",4600,174114293,False,0,4.5,124.0,False,,0,54.0,NULL,브라운,플라스틱,플라스틱,NULL,NULL,NULL,NULL
102,130,184634,"에스파스 접이식 쿠션 의자, 아이보리",14730,1409899184,True,41,4.5,87.0,False,에스파스,0,46.0,NULL,화이트,NULL,NULL,NULL,등받이없음,NULL,NULL
103,131,184634,"생활지음 제미니 유아의자 4LEGS 타입 SGMN33, 315P 그레이",100100,1976009988,True,15,4.5,45.0,False,생활지음,0,45.0,NULL,NULL,패브릭,NULL,NULL,NULL,아동용의자,NULL
104,132,184634,"산들리빙 카페의자 식탁 인테리어 철제 1+1 소나타, 소나타1+1_카키",49900,2333882905,False,16,5.0,38.0,False,,착불배송,38.0,w500 x d410 x h800 (mm),그린,NULL,인조가죽,팔걸이있음,NULL,NULL,모던/심플
105,133,184634,"보니타빈백 리필용 120L 대용량 빈백 충전재, 120L 수량1",27000,3495151,False,0,4.0,148.0,False,,0,16.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,134,184634,"아가드 토스비 하이체어, 오팔그레이",118150,18578088,True,30,5.0,518.0,False,아가드,0,104.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,136,184634,"에펠플러스 북유럽 미니멀 인테리어의자, 에펠체어_고급형_블랙",27500,2280757981,False,0,4.5,88.0,False,투버스,0,39.0,NULL,블랙,플라스틱,인조가죽,팔걸이없음,NULL,NULL,북유럽
108,137,184634,"주식회사 와이디 빈티지 카페 벤치 의자, 빈티지벤치의자_블랙(YWC2082-BK)",24900,128472446,False,0,4.5,887.0,False,,착불배송,221.0,NULL,브라운,기타,NULL,NULL,등받이없음,벤치,NULL
109,138,184634,"팬물산 프레스 오각의자 3p, 블루",15750,4604529434,True,23,5.0,10.0,False,팬물산,0,10.0,NULL,블루,플라스틱,NULL,NULL,등받이없음,야외용의자,NULL
110,141,184634,"투에이산업 원형 회전의자 레드 2p + 블루 2p, 혼합 색상",23400,148185742,True,0,4.5,102.0,False,,0,35.0,NULL,NULL,플라스틱,NULL,NULL,등받이없음,야외/캠핑용의자,NULL
111,142,184634,"밴프 엔틱 쿠션 스툴, 그레이(OC075)",13400,1744427515,True,0,4.0,45.0,False,밴프,0,45.0,NULL,그레이,인조/천연가죽,NULL,NULL,등받이없음,NULL,NULL
112,143,184634,"블루밍홈 어린이 쇼파 RA, 핑크",39400,1249044868,True,34,4.5,187.0,False,블루밍홈,0,70.0,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,기타,키즈/캐릭터
113,144,184634,"홈앤하우스 아카시아 원목 스툴, 혼합색상",31900,1757936763,False,0,4.5,166.0,False,홈앤하우스,0,151.0,NULL,브라운,우드,NULL,NULL,등받이없음,스툴/화장대의자,NULL
114,145,184634,"오에이데스크 레인보우PP의자, 블랙 OC026",12960,135145900,True,41,4.5,36.0,False,,0,16.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,접이식의자,NULL
115,146,184634,"블루밍홈 PU파스텔좌식의자, 아이보리",25900,884627,False,30,4.5,675.0,False,블루밍홈,0,219.0,NULL,베이지,인조/천연가죽,PU,NULL,NULL,좌식의자,NULL
116,147,184634,"위드퍼니처 유로 39번 라탄의자, 월넛, 1개",22900,2416988,False,28,4.0,81.0,False,위드퍼니처,착불배송,38.0,540,브라운,NULL,라탄,NULL,NULL,NULL,NULL
117,148,184634,"까사마루 오드리 접이식 의자, 화이트",12900,56923077,True,43,4.0,612.0,False,까사마루,0,200.0,NULL,화이트,기타,NULL,NULL,등받이없음,접이식의자,NULL
118,149,184634,"투에이산업 원형 회전의자 3p, 레드",17500,148185721,True,0,4.5,99.0,False,,0,40.0,NULL,NULL,플라스틱,NULL,NULL,등받이없음,야외/캠핑용의자,NULL
119,150,184634,"까사마루 루치아 플러스 스툴 큐브, 베이지",16900,202312712,True,15,4.0,159.0,False,까사마루,0,108.0,NULL,베이지,NULL,NULL,NULL,등받이없음,스툴/화장대의자,NULL
120,151,184634,"이케아 건드 접이식 의자, 화이트(202 178 00)",13800,2306378401,False,0,4.5,151.0,False,이케아,착불배송,68.0,NULL,NULL,플라스틱,NULL,NULL,등받이있음,접이식의자,NULL
121,152,184634,"에시앙 P edition 크라운 윙스 라이너 아기 범보 의자 세트, 의자(헤이즐넛), 베개, 라이너(체리봉봉아이보리), 카트, 트레이, 핸들(에곤뉴트럴)",128900,1440156959,True,0,5.0,110.0,False,에시앙,0,104.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,153,184634,"이리빙몰 사각플라스틱 간이의자, 03_보조의자(블루)",2700,115794270,False,0,4.5,75.0,False,,"5,000",31.0,365 x 365 x 430 mm,블루,플라스틱,플라스틱,NULL,NULL,야외/캠핑용의자,NULL
123,155,184634,"U2P 등받이 앉은뱅이 의자, 블랙",20000,175464236,False,0,4.5,141.0,False,,0,140.0,NULL,블랙,인조/천연가죽,NULL,NULL,등받이있음,NULL,모던/심플
124,156,184634,"프리메이드 에펠의자 회전형 의자, 그레이",38900,234170079,False,0,4.5,82.0,False,프리메이드,0,62.0,W490 X D590 X H830~940 mm,NULL,NULL,"PP, 인조가죽, 스틸",팔걸이없음,NULL,NULL,NULL
125,157,184634,폴리몰리 빈백 충전재 EPP 50L,17000,2371467905,False,0,4.5,116.0,False,폴리몰리,0,83.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,158,184634,"리바트 꼼므 아이의자, 핑크",27440,37873608,False,33,4.5,166.0,False,리바트,0,41.0,NULL,NULL,플라스틱,NULL,NULL,NULL,아동용의자,내추럴
