,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,인테리어,방식,각도조절
23,25,184624,"[수오]프리미엄 올레스트 홈바형 리클라이너 1인용쇼파 H-2663-1, 소파, 옐로우",139000,2171994622,False,17,4.5,3.0,False,수오,"30,000",3.0,NULL,옐로우,NULL,NULL,북유럽,수동레버식,각도조절 가능
24,27,184624,베네플러스 리클라이너 좌식소파 베이지,82800,5401511834,False,6,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,28,184624,"비바체 리클라이너 소파 OR112, 다크블루",126700,2285536314,True,30,4.5,21.0,False,몽돌,0,22.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
26,31,184624,"[번개배송] 필우드가구 클로이 1인용 리클라이너 소파 안락의자, 02.머드그레이",159000,4874838790,False,51,4.0,5.0,False,,착불배송,5.0,NULL,그레이,NULL,NULL,NULL,하중반응식,각도조절 가능
27,32,184624,"비바체 리클라이너 소파 OR111, 레이크블루",135000,2285536402,True,22,4.0,11.0,False,몽돌,0,11.0,NULL,NULL,NULL,패브릭,로맨틱,NULL,NULL
28,33,184624,"리빙엠 접이식 2인용 좌식 소파 리클라이너 베드, 2인좌식쇼파+쿠션세트 베이지",135000,200344419,False,0,4.0,18.0,False,리빙엠,0,13.0,NULL,NULL,NULL,기타,로맨틱,NULL,NULL
29,34,184624,"클렙튼 무중력 전동 1인 리클라이너 8001 방문설치, 블랙",292800,2005443345,True,0,5.0,14.0,False,클렙튼,0,14.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,방문설치,NULL
30,35,184624,"에넥스 레이 유니온레더 리클라이너, 카멜",193030,163871357,False,64,2.0,2.0,False,에넥스,0,2.0,W705 x D820 x H1075(mm),카멜,신소재,,NULL,NULL,NULL
31,36,184624,"썬퍼니처 가구 9180 초생피 전동 1인용 리클라이너 소파+허리쿠션 가죽 USB 독립스프링 컵홀더 제로월, 9180 버튼식 초생피 라이트그레이",224000,340053826,False,0,4.5,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL,모던/심플,전자동식,각도조절 가능
32,39,184624,"썬퍼니처 가구 1인용 전동 리클라이너 소파 7108 가죽 USB 독립스프링 컵홀더, 7108 버튼식 초코브라운",239000,145718626,False,45,4.0,81.0,False,,착불배송,18.0,900X940X1020,브라운,인조가죽,NULL,NULL,NULL,각도조절 가능
33,40,184624,"삼익가구 제우스 침대형 리클라이너 체어 컴퓨터 의자 컴퓨터의자, 블랙",129900,196550602,False,53,4.0,123.0,False,삼익가구,착불배송,72.0,560x590x1200~1280,블랙,"합성가죽, PP, 스폰지, 스틸 등",NULL,NULL,NULL,각도조절 가능
34,41,184624,"[삼익가구]헬렌 1인용 리클라이너 가죽소파, 그레이",159900,5031188546,False,59,4.0,2.0,False,삼익가구,착불배송,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,42,184624,"전동 리클라이너 소파 어뎁터 29V 2.0A, 29V 2A",30000,5198577790,False,0,,,False,,"3,000",,NULL,NULL,NULL,전동,NULL,전자동식,NULL
36,43,184624,"문스타 게이밍리클라이너 PC방 1인용 리클라이너, 게이밍리클라이너_블랙",198000,1215328210,False,20,4.0,6.0,False,문스타,"20,000",5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,44,184624,"삼익가구 포그네 침대형 리클라이너 체어 컴퓨터 의자, 블랙",104900,196553628,False,54,3.5,46.0,False,삼익가구,착불배송,9.0,620x570x1200~1260,블랙,"합성가죽, PVC, 스폰지, 스틸 등",NULL,NULL,NULL,각도조절 가능
38,45,184624,"[한샘] 휴 팔걸이형 리클라이너 (2종/택1), 네이비(B)",149000,4695924168,False,12,4.5,3.0,False,한샘,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,46,184624,"세인트 리클라이너 소파 OR113, 베이지",135500,2285536479,True,12,4.5,12.0,False,,0,12.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
40,47,184624,"[10조 한정판매]에보니아 바디 리클라이너 1인용소파 1인쇼파 편안한디자인, 카푸치노",139600,1178678318,False,17,4.0,14.0,False,,착불배송,13.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
41,48,184624,"에보니아 에어레더 리클라이너 141, 카푸치노",271940,1792519350,True,0,4.0,20.0,False,에보니아,0,20.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
42,50,184624,"삼익가구 릴링 USB 6인용 전동 리클라이너 양방향 가죽소파 방문설치, 라이트그레이",1071370,1829494219,True,3,4.5,40.0,False,삼익가구,0,19.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,방문설치,NULL
43,51,184624,"[한샘x아이와비] 아르보 레버 조절형 1인 리클라이너 DIY_스툴포함 (2종 택1), 베이지",189610,1183702499,False,3,5.0,1.0,False,한샘,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,54,184624,"풍원 1인용 안락의자 42단조절 리클라이너 등받이좌식의자 좌식의자, 제로좌식 탈부착커버(그레이)",22000,239658918,False,0,3.5,6.0,False,풍원,0,6.0,NULL,그레이,패브릭,NULL,NULL,NULL,NULL
45,55,184624,"에보니아 에어레더 리클라이너 140, 블루",331090,1792519430,False,16,4.0,24.0,False,에보니아,0,24.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
46,56,184624,"부르봉가구 이태리 황소 통가죽 제로월 무선충전 블루투스 우퍼스피커 원터치버튼 전동 리클라이너 4인 소파(801), 라이트블루",990000,4768442138,False,0,5.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,57,184624,"썬퍼니처 가구 1인용 수동 리클라이너 소파 7104 가죽 쇼파 독립스프링 컵홀더, 초코브라운(6월말 순차배송)_221006B",177000,136282556,False,46,4.0,43.0,False,,착불배송,15.0,840X940X1050,브라운,인조가죽,NULL,NULL,NULL,각도조절 가능
48,58,184624,"히다마리 42단 리클라이너 1인용소파 좌식의자 블랙 Set, 좌식소파(접이식조절)-블랙",149000,9003687,False,24,5.0,3.0,False,히다마리,0,,NULL,블랙,PVC,원목,NULL,NULL,NULL
49,62,184624,"삼익가구 나타카 무빙헤드 4인용 전동 홈바 리클라이너 가죽소파 방문설치, 그레이",1038050,4349355539,True,33,5.0,1.0,False,삼익가구,0,1.0,NULL,NULL,NULL,NULL,모던/심플,방문설치,NULL
50,64,184624,"무중력의자 META3무중력의자와 코듀로이커버세트, 의자블랙과커버와인",44900,4736050433,False,18,,,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,65,184624,"스스디 컴포트 전동 리클라이너 소파, 1인_라이트브라운",207000,1716367935,False,23,5.0,4.0,False,스스디,착불배송,4.0,NULL,NULL,NULL,NULL,모던/심플,전자동식,각도조절 가능
52,68,184624,"[삼익가구]두츠 1인용 리클라이너 가죽 소파, 카멜브라운",249000,230849816,False,46,5.0,4.0,False,삼익가구,착불배송,2.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
53,72,184624,"혼시티 리클라이너 프리미엄 둥실둥실 의자 (예약판매), 블랙 + 그레이",58500,5002222650,False,26,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,모던/심플,수동레버식,각도조절 가능
54,73,184624,"세인트 리클라이너 소파 OR115, 레이크블루",155000,2285536435,True,0,4.0,2.0,False,,0,2.0,NULL,NULL,NULL,패브릭,로맨틱,NULL,NULL
55,74,184624,"비앤비 자유로운 각도 조절 무중력의자 시리즈, AC 로열",49900,23275378,False,0,4.0,85.0,False,,0,1.0,630 x 810 x 1100mm,블랙,철제,NULL,NULL,NULL,NULL
56,76,184624,"[삼익가구]오브 3인용 전동 홈바 리클라이너 가죽 소파, 그레이",599000,4315562657,False,53,4.5,4.0,False,삼익가구,착불배송,4.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
57,77,184624,"[에몬스] [4인] 헤시아 헤드레스트-틸팅 소파 (이태리 천연 소가죽), 색상:카키브라운",958000,345115883,False,3,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,모던/심플,NULL,NULL
58,80,184624,"리바트 뉴 레가토 4인 리클라이너 소파 홈바형 3색택1, 그레이",1309240,13675863,False,44,3.5,5.0,False,리바트,0,,NULL,그레이,천연가죽,NULL,NULL,NULL,NULL
59,81,184624,"[쿠시퍼] 천연소가죽(면피) 릴렉스체어 1인용 리클라이너 소파 CU-702R /안락의자, 모델:CU-702R(베이지)",282240,1329946128,False,8,,,False,쿠시퍼,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,82,184624,"파란들 이지 전동안마기탑재형 1인 리클라이너 소파, 네이비",790000,5190148073,False,50,5.0,1.0,False,파란들,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,83,184624,"무중력의자 국가대표 +와이드선반 캠핑의자, 브라운, 1개",49900,84268123,False,0,4.0,41.0,False,무중력의자,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,85,184624,"클렙튼 퍼스트클래스 리클라이너 전동 가죽 소파, 13_전동 리클라이너 0005 라이트브라운",307000,38966350,False,24,4.0,40.0,False,클렙튼,착불배송,3.0,상품상세참조,베이지,에어레더,NULL,NULL,NULL,각도조절 가능
63,87,184624,"혼시티 둥실둥실 구름 의자 + 안락쿠션 + 목받침대 + 컵홀더, 블랙(프레임), 브라운(안락쿠션)",58900,5276039973,False,26,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,모던/심플,수동레버식,각도조절 가능
64,88,184624,"[에몬스] [6인 코너형] 라르고 헤드레스트-틸팅 소파 (이태리 천연 소가죽), 색상:카키브라운",1958000,345115877,False,1,2.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,모던/심플,NULL,NULL
65,89,184624,"[삼익가구]크루즈 USB 1인용 전동 리클라이너 가죽소파, 라이트그레이",309000,5169780419,False,36,,,False,삼익가구,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,91,184624,"[에몬스] [6인] 헤시아 헤드레스트-틸팅 소파 (이태리 천연 소가죽), 색상:초코브라운",1258000,345115886,False,2,4.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,모던/심플,NULL,NULL
67,92,184624,"썬퍼니처 가구 1668 초생피 리모콘 전동 1인용 리클라이너 소파+허리쿠션 가죽 USB 독립스프링 컵홀더 제로월, 1668초생피+리모콘_라이트베이지",334000,1650143096,False,37,4.5,5.0,False,,착불배송,5.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL
68,93,184624,"리바트 몰리세 4인 패브릭 리클라이너 (3색 중 택1), 샌드베이지",1153420,1604726137,False,38,5.0,1.0,False,리바트,0,1.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
69,95,184624,"무중력의자 휴식을 위한 고강도 리클라이너 로열2 BC+커버(구성품 와이드 컵 선반), 로열2/BC",49900,115138876,False,16,5.0,2.0,False,무중력의자,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,96,184624,"[에몬스] [3인] 라르고 헤드레스트-틸팅 소파 (이태리 천연 소가죽), 색상:머드그레이",758000,345118719,False,3,3.0,3.0,False,,0,3.0,NULL,NULL,NULL,인조/천연가죽,모던/심플,NULL,NULL
71,97,184624,"제이에스리빙 안락 좌식 의자 쇼파 접이식 안락 등받이 게이밍 1인용 베드 쿠션 각도 조절 인테리어 좌식의자 용품, 마룬",89500,10666473,False,28,4.0,102.0,False,,0,1.0,NULL,NULL,NULL,인조가죽,NULL,NULL,NULL
72,98,184624,"리바트 뉴 레가토 4인 리클라이너 소파 양면형 3색택1, 그레이",1173020,13675750,False,45,5.0,8.0,False,리바트,0,4.0,NULL,그레이,천연가죽,NULL,NULL,NULL,NULL
73,99,184624,"무중력느낌 접이식의자 1인용 리클라이너 의자 눕는의자 독서의자 캠핑의자, 리클라이너의자(그레이단품)",36900,5164804989,False,4,,,False,,0,,NULL,그레이,NULL,NULL,NULL,NULL,NULL
74,100,184624,"지베스 레스트 3인용 전동리클라이너 소파, 그레이",679000,1307950237,False,41,4.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,101,184624,"삼익가구 나타카 무빙헤드 4인용 전동 리클라이너 가죽소파 방문설치, 그레이",1279460,4349356813,True,5,,,False,삼익가구,0,,NULL,NULL,NULL,NULL,모던/심플,방문설치,NULL
76,102,184624,"레이지다이어리 리치 소파 베드 접이식 리클라이너 패브릭 1인용 의자, 브라운",120900,1810375199,False,7,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,103,184624,"어반휴 접이식 리클라이너 제로체어, 다크블루",55000,5196039009,False,0,3.0,1.0,False,,"5,000",1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,104,184624,"동서가구 멘테 전동 리클라이너 가죽소파4인_접이식 컵홀더 내장, 차콜",836070,4370486966,False,7,5.0,1.0,False,동서가구,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,105,184624,"세인트 리클라이너 소파 OR116, 다크그레이",145000,2285536333,True,4,4.0,8.0,False,,0,8.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
80,106,184624,"NUJ837233리클라이너 의자 캠핑의자 접이식의자 독서의자 1인용 무중력느낌 눕는의자, 리클라이너의자(그레이단품)",37420,5236188323,False,0,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,107,184624,"[에몬스] [3인] 맨하탄 천연 면피소가죽 소파, 색상:머드그레이",808400,1621575317,False,18,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,108,184624,"접이식 리클라이너 라꾸라꾸 나혼자산다 심플 간편 편안한 폴딩 의자 오늘의집 영화 조절가능, B 접이식리클라이너+쿠션",140400,5329074360,False,49,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,109,184624,"[희망일배송]가구야놀자 버니 리클라이너 소파 프리미엄 이지클린 사하라 패브릭 전동 리클라이너 1인용 쇼파, 머스타드",345000,4389485232,False,0,,,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,110,184624,"무중력의자 특대형 접이식 리클라이너, 로열1무중력의자",49900,189617097,False,0,5.0,2.0,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,111,184624,"글로리아 리클라이너의자 전용쿠션 쿠션패드 롱방석 캠핑의자 낚시의자 전용쿠션, 블랙",25400,5013162066,False,0,,,False,글로리아,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,112,184624,"리클라이닝의자 침대형 무중력 마약 의자, 블랙",86000,5253210960,False,30,,,False,,0,,NULL,NULL,알루미늄,NULL,모던/심플,수동레버식,각도조절 가능
87,113,184624,"공중부양의자 모유수유 중력 독서 체어 힐링 소파 취짐 책읽기좋은 안락 뒤로젖혀지는 눕는, 단품",86060,5510270081,False,0,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,114,184624,"Royalways 접는 새총 의자 벤치를위한 안락한 베개 머리 받침 머리 받침 방석, 다른9",9190,2284051811,False,8,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,115,184624,"[쿠시퍼] 2인용 천연소가죽 전동 리클라이너 소파 CU-601-2ER, 브라운",634380,4935062634,False,3,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,116,184624,"파로마 뮤즈 전동 모션 리클라이너소파 (1인용/3인용/4인용), 진네이비머드",683000,5308444629,False,23,,,False,,"60,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,117,184624,"[리브맘] 2021 NEW 무중력 패브릭 옥스포드 순면 빈백 소파+풋스툴 풀세트, 상세 설명 참조",105000,5226064127,False,3,,,False,리브맘,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,118,184624,"1인용 리클라이너 소파 접이식 무중력 안락 의자 암체어, 기본형",48800,4870927325,False,28,,,False,,0,,NULL,그레이,NULL,NULL,모던/심플,수동레버식,각도조절 가능
93,119,184624,"침대형 리클라이닝 눕는 의자 무중력 마약 가성비게이밍 시디즈 제닉스 린백 에이픽스 다이소 메쉬통풍 쿠션포함 로제까사안락 라꾸라꾸리클라이너 룸앤홈문체어 이케아펠로 이몰라체어 베드보, 그레이",69900,5360845378,False,12,,,False,,"2,500",,NULL,그레이,알루미늄,NULL,모던/심플,NULL,각도조절 가능
94,120,184624,"키노 소파 일인용 낮잠 벤치 Kino사 Zero gravity chair 키노 좌식소파 좌식리클라이너, 베이지",243500,5475941042,False,57,,,False,,"18,000",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,121,184624,"[삼익가구]크루즈 아쿠아텍스 3인용 전동 리클라이너 소파(양방향), 아이보리",639000,5381795225,False,57,5.0,1.0,False,삼익가구,착불배송,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,122,184624,"쉐우드가구OEM [리라프X쉐우드]로먼 1인용 나파 에어레더 가죽 전동 리클라이너 소파, 딥샌드",459000,345447407,False,49,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,123,184624,"바네스데코 리르 리클라이너 1인소파 (베이지), 단품",209000,143641930,False,0,4.0,1.0,False,바네스데코,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,125,184624,"리클라이너의자 쿠션, 리클라이너전용쿠션-그레이",25500,185163070,False,0,4.0,10.0,False,프리폼,0,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,127,184624,"리클라이너 수면 안락 추천 팔걸이 푹신 좌식의자 접이식 등받이 소파 베드 휴식 허리 좋은 척추 1인 1인용, Goods",99000,5050217341,False,0,,,False,브노오,0,,NULL,NULL,NULL,NULL,모던/심플,하중반응식,각도조절 가능
100,128,184624,"무중력의자 9시리즈 다단변신 특대형 침대의자, 익스트림META9TEXTILENE",54900,1519627212,False,15,,,False,무중력의자,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,129,184624,"블루밍홈 슈퍼슈프림좌식의자, 브라운",79800,1476504,False,0,4.0,66.0,False,블루밍홈,"6,000",,NULL,브라운,NULL,인조가죽,NULL,NULL,NULL
102,130,184624,"[에몬스] [6인] 맨하탄 천연 면피소가죽 소파, 색상:라떼베이지",1258400,1621575356,False,21,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,131,184624,"1인용 리클라이너 무중력의자 낮은 의자 소파 베드 캠핑, 블랙(트레이포함)",54800,5368795761,False,16,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,133,184624,"시트앤모어 칸느 광폭전동 높이조절 천연 소가죽 리클라이너 4인용 소파, 없음",1627500,242372959,False,7,,,False,시트앤모어,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,134,184624,"1인용 접이식 안락 의자 보온 쿠션 방석 라운지, 퍼플",27100,2107434226,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,135,184624,"동서가구 매쉬 1인 리클라이너, 화이트블랙(다이몬)",129000,86621649,False,37,3.5,305.0,False,동서가구,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,136,184624,"올쏘 누보 홈바 리클라이너 가죽소파 3인용, 블루그레이",527040,1929594665,False,4,,,False,올쏘,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,137,184624,"풍원 1인용 안락의자 14단조절 리클라이너 등받이좌식의자 좌식의자, 코일 좌식의자/그레이",89000,343445244,False,0,4.5,12.0,False,풍원,0,9.0,NULL,NULL,패브릭,NULL,모던/심플,NULL,각도조절 가능
109,139,184624,"썬퍼니처 가구 1인용 전동 리클라이너 소파 7104 7108 5124 1668 가죽 USB 독립스프링 컵홀더 제로월, 5124초생피+리모콘_그레이",314000,1620695355,False,0,5.0,8.0,False,,착불배송,8.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,140,184624,"동서가구 *특가*리노 전동리클라이너 1인소파 DF908282, 초코브라운",242900,38680182,False,35,4.5,55.0,False,동서가구,착불배송,5.0,790mmX970mmX990mm,브라운,인조가죽,NULL,NULL,NULL,NULL
111,141,184624,"IS산업 게이밍리클라이너 1인용리클라이너 PC방 리클라이너, 블랙",199000,1077506614,False,26,4.0,14.0,False,,0,12.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL
112,142,184624,"[동서가구] 리엘 1인 리클라이너 소파 DF635138, 색상:초코브라운",209000,132966349,False,11,5.0,3.0,False,동서가구,0,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,145,184624,"수오 프라인 리클라이너 5단 각도조절 1인용소파 소파베드, 레드",79000,5306748075,False,11,,,False,수오,"20,000",,NULL,NULL,NULL,NULL,북유럽,수동식,각도조절 가능
114,147,184624,"리빙엠 1인용 패브릭 리클라이너 소파+스툴, 1인 소파+스툴_차콜",149000,256971444,False,0,4.5,5.0,False,리빙엠,0,4.0,NULL,NULL,NULL,패브릭,모던/심플,NULL,NULL
115,148,184624,"체스터 가죽 1인 리클라이너 소파 방문설치, 퍼마넌트 옐로우",458370,2263457395,True,4,4.0,6.0,False,,0,6.0,NULL,NULL,NULL,인조/천연가죽,빈티지,방문설치,NULL
116,150,184624,"파파가구 침대의자 안락의자, 침대의자초코",98000,20244892,False,0,5.0,6.0,False,,"10,000",1.0,NULL,NULL,NULL,NULL,NULL,NULL,각도조절 가능
117,151,184624,"썬퍼니처 가구 1인용 수동 리클라이너 소파 5124 흔들 회전 에어레더 가죽 컵홀더, 머드그레이_221001B",249000,136282563,False,43,4.0,24.0,False,,착불배송,9.0,90X97X100,그레이,인조가죽,NULL,NULL,NULL,각도조절 가능
